ctitle,etitle,link,imgsrc,rating,num,inq,bd
肖申克的救赎,  The Shawshank Redemption,https://movie.douban.com/subject/1292052/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,9.7,2656664,希望让人自由。,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins  ... 1994   美国   犯罪 剧情
霸王别姬, ,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,9.6,1972452,风华绝代。,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung   张丰毅 Fengyi Zha... 1993   中国大陆 中国香港   剧情 爱情 同性
阿甘正传,  Forrest Gump,https://movie.douban.com/subject/1292720/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,9.5,1996241,一部美国近现代史。,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks   ... 1994   美国   剧情 爱情
泰坦尼克号,  Titanic,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,9.4,1955989,失去的才是永恒的。 ,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo... 1997   美国 墨西哥 澳大利亚 加拿大   剧情 爱情 灾难
这个杀手不太冷,  Léon,https://movie.douban.com/subject/1295644/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,9.4,2143621,怪蜀黍和小萝莉不得不说的故事。,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno   娜塔莉·波特曼 ... 1994   法国 美国   剧情 动作 犯罪
美丽人生,  La vita è bella,https://movie.douban.com/subject/1292063/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,9.6,1226296,最美的谎言。,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni... 1997   意大利   剧情 喜剧 爱情 战争
千与千寻,  千と千尋の神隠し,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,9.4,2072427,最好的宫崎骏，最好的久石让。 ,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi   入野自由 Miy... 2001   日本   剧情 动画 奇幻
辛德勒的名单,  Schindler's List,https://movie.douban.com/subject/1295124/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,9.6,1022966,拯救一个人，就是拯救整个世界。,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson... 1993   美国   剧情 历史 战争
盗梦空间,  Inception,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,9.4,1911527,诺兰给了我们一场无法盗取的梦。,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le... 2010   美国 英国   剧情 科幻 悬疑 冒险
星际穿越,  Interstellar,https://movie.douban.com/subject/1889243/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,9.4,1608405,爱是一种力量，让我们超越时空感知它的存在。,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc... 2014   美国 英国 加拿大   剧情 科幻 冒险
忠犬八公的故事,  Hachi: A Dog's Tale,https://movie.douban.com/subject/3011091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,9.4,1306021,永远都不能忘记你所爱的人。,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger... 2009   美国 英国   剧情
楚门的世界,  The Truman Show,https://movie.douban.com/subject/1292064/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,9.3,1529564,如果再也不能见到你，祝你早安，午安，晚安。,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey   劳拉·琳妮 Lau... 1998   美国   剧情 科幻
海上钢琴师,  La leggenda del pianista sull'oceano,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,9.3,1555988,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth   ... 1998   意大利   剧情 音乐
三傻大闹宝莱坞,  3 Idiots,https://movie.douban.com/subject/3793023/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,9.2,1732755,英俊版憨豆，高情商版谢耳朵。,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan   卡... 2009   印度   剧情 喜剧 爱情 歌舞
机器人总动员,  WALL·E,https://movie.douban.com/subject/2131459/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,9.3,1224331,小瓦力，大人生。,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt   艾丽... 2008   美国   科幻 动画 冒险
放牛班的春天,  Les choristes,https://movie.douban.com/subject/1291549/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,9.3,1208746,天籁一般的童声，是最接近上帝的存在。 ,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼... 2004   法国 瑞士 德国   剧情 喜剧 音乐
无间道,  無間道,https://movie.douban.com/subject/1307914/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,9.3,1233728,香港电影史上永不过时的杰作。,导演: 刘伟强   麦兆辉   主演: 刘德华   梁朝伟   黄秋生 2002   中国香港   剧情 犯罪 惊悚
疯狂动物城,  Zootopia,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,9.2,1752129,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,导演: 拜伦·霍华德 Byron Howard   瑞奇·摩尔 Rich Moore   主演: 金妮弗·... 2016   美国   喜剧 动画 冒险
大话西游之大圣娶亲,  西遊記大結局之仙履奇緣,https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,9.2,1419734,一生所爱。,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow   吴孟达 Man Tat Ng... 1995   中国香港 中国大陆   喜剧 爱情 奇幻 古装
熔炉,  도가니,https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,9.3,864624,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong   郑有美 Yu-mi Jung  ... 2011   韩国   剧情
控方证人,  Witness for the Prosecution,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,9.6,475425,比利·怀德满分作品。,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power   玛琳·... 1957   美国   剧情 犯罪 悬疑
教父,  The Godfather,https://movie.douban.com/subject/1291841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,9.3,883177,千万不要记恨你的对手，这样会让你失去理智。,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M... 1972   美国   剧情 犯罪
当幸福来敲门,  The Pursuit of Happyness,https://movie.douban.com/subject/1849031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,9.2,1409672,平民励志片。 ,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ... 2006   美国   剧情 传记 家庭
触不可及,  Intouchables,https://movie.douban.com/subject/6786002/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,9.3,993624,满满温情的高雅喜剧。,导演: 奥利维·那卡什 Olivier Nakache   艾力克·托兰达 Eric Toledano   主... 2011   法国   剧情 喜剧
怦然心动,  Flipped,https://movie.douban.com/subject/3319755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,9.1,1692397,真正的幸福是来自内心深处。,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll   卡... 2010   美国   剧情 喜剧 爱情
龙猫,  となりのトトロ,https://movie.douban.com/subject/1291560/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,9.2,1171122,人人心中都有个龙猫，童年就永远不会消失。,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka   坂本千夏 Ch... 1988   日本   动画 奇幻 冒险
末代皇帝,  The Last Emperor,https://movie.douban.com/subject/1293172/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,9.3,792475,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone   陈... 1987   英国 意大利 中国大陆 法国   剧情 传记 历史
寻梦环游记,  Coco,https://movie.douban.com/subject/20495023/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg,9.1,1512793,死亡不是真的逝去，遗忘才是永恒的消亡。,导演: 李·昂克里奇 Lee Unkrich   阿德里安·莫利纳 Adrian Molina   主演: ... 2017   美国   喜剧 动画 奇幻 音乐
蝙蝠侠：黑暗骑士,  The Dark Knight,https://movie.douban.com/subject/1851857/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,9.2,976901,无尽的黑暗。,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ... 2008   美国 英国   剧情 动作 科幻 犯罪 惊悚
活着, ,https://movie.douban.com/subject/1292365/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,9.3,763395,张艺谋最好的电影。,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge   巩俐 Li Gong   姜武 Wu Jiang 1994   中国大陆 中国香港   剧情 历史 家庭
